year,month,germany,north,south
2012,9,100.62370425989889,94.34771062769973,106.90570473047795
2012,10,57.87931223685016,54.8218281177903,60.93972271530881
2012,11,24.407306652650547,21.730337949399317,27.086837518850132
2012,12,17.509444194156615,13.867534286937332,21.15483982260012
2013,1,19.20359424449228,16.316568248656043,22.09338345195234
2013,2,31.42942228006652,27.028147532507965,35.834909547207396
2013,3,81.46445651387985,80.01077568810145,82.91952867723572
2013,4,109.29400268642271,112.44270248333603,106.14228922635179
2013,5,125.30370929346526,130.62270926567302,119.97961843445162
2013,6,160.57549999165707,162.92749498273838,158.22125387436213
2013,7,190.95550516427224,186.44481818333438,195.47050938472069
2013,8,146.56094775658673,143.7891192412677,149.33542922646308
2013,9,84.56630541789725,79.76800182344799,89.3692015336075
2013,10,54.91577466864672,52.59530806820141,57.23846221905658
2013,11,23.079235120388446,21.762582124650457,24.397148302514648
2013,12,19.09299477732726,14.477523390723762,23.71288369401303
2014,1,21.866895540983244,18.451714763813452,25.285345033860672
2014,2,43.33915961689276,41.49837546350602,45.18170560968688
2014,3,93.69620288331582,86.47119697129737,100.92812394620132
2014,4,119.53391274966211,118.6288010829502,120.43989071099065
2014,5,144.30295542651828,143.4612468381523,145.14546962555713
2014,6,174.2957752248419,164.11555395571466,184.48574012141987
2014,7,164.060085737487,170.66027112670184,157.45358322157733
2014,8,130.62986287007837,133.301590569216,127.95557802422832
2014,9,88.48348792778363,88.56827506268102,88.39861964197276
2014,10,55.5177458799842,52.18536232689752,58.85331890243564
2014,11,26.60785244698069,24.272744178030784,28.945195679634068
2014,12,12.844120766659435,11.337413372322505,14.352270251019716
2015,1,19.260005645381078,16.681042534147956,21.841437117085032
2015,2,42.3285116773178,40.11812362754963,44.541015319380996
2015,3,80.90872205814463,74.81631307712406,87.00696216619275
2015,4,138.34584981061553,134.61657864453326,142.07869031256433
2015,5,150.5678870979404,153.23349218085488,147.89973072835227
2015,6,162.64897813040554,163.2551937691448,162.04218227448015
2015,7,173.55448899567838,164.24200451414563,182.87588658204746
2015,8,150.32924632772134,147.40057888914217,153.26071683351233
2015,9,91.34146743755319,90.82850616247589,91.854919674804
2015,10,53.691877687117966,51.977933444148576,55.407462369301136
2015,11,28.350893360698137,24.140321938636525,32.56549477761022
2015,12,20.060149783361975,16.51172966271772,23.611966144891404
2016,1,22.224379953613322,19.045382117979308,25.406420451067568
2016,2,36.08112212377567,35.77035012425019,36.392191567384685
2016,3,72.21943323711156,67.45805435876339,76.98536929557558
2016,4,117.46375223173317,118.53723186141795,116.38924516017741
2016,5,160.44893647138656,168.26081104520262,152.6295850467706
2016,6,159.50527117296002,165.93300224039493,153.07138803719388
2016,7,161.41230829342635,155.62425263649453,167.2059037767032
2016,8,146.92136295628862,138.0471764908633,155.80404302559165
2016,9,111.97080036486403,109.56178325429873,114.38212317828466
2016,10,45.25277001885501,39.88334269147594,50.62733649774355
2016,11,26.257246611380868,23.94697424379722,28.56973017189091
2016,12,19.421153520993588,15.774565068740655,23.071232172369466
2017,1,27.131230136879633,21.92807437221688,32.33936591229056
2017,2,37.37044818207605,30.57105365273323,44.17635050387575
2017,3,86.92316152464223,80.33051117695784,93.52212178713125
2017,4,115.80861034634272,112.0122219936735,119.60863227364541
2017,5,163.49060658646334,159.03718844334247,167.94828715631556
2017,6,175.85326995489257,164.6523002685138,187.06496024083648
2017,7,155.59678313393735,148.9205990137815,162.2793571202012
2017,8,138.92661961255442,133.73612044763425,144.12208667442005
2017,9,87.07100743632957,85.24066377954071,88.90310293978531
2017,10,53.251928857074525,46.79966088314922,59.710372383936075
2017,11,21.76905808346265,19.60084028708187,23.939351110418624
2017,12,14.517832785481081,11.63738218469082,17.401040304495652
2018,1,19.256202327120633,16.198115622168235,22.317215968214924
2018,2,49.02265925258492,47.459564373829075,50.58725019058801
2018,3,75.02188625252373,71.90417936501758,78.14257713945477
2018,4,137.22213868170616,128.65517931498397,145.79729760109512
2018,5,186.0559169989933,194.3859541691915,177.7179070375667
2018,6,168.38246861668696,165.0886120114077,171.67947781666822
2018,7,197.4903402524014,200.13651810383647,194.8416297083586
2018,8,154.65139121100376,150.4656735916922,158.84111503725507
2018,9,109.40127860928958,103.67478883026924,115.13324928912061
2018,10,67.29140817495676,62.635969679617965,71.95130245343809
2018,11,29.20234083084436,26.03465785333474,32.373055640570485
2018,12,13.931546834415133,11.418760055370555,16.44673863566806
2019,1,21.053520159294298,18.701647496372562,23.40764383134769
2019,2,51.850456163476885,44.85666069969257,58.85094548348144
2019,3,75.20549701601287,65.41860517347773,85.00175602508529
2019,4,137.78508212221834,141.5557005542615,134.01085478028122
2019,5,146.01223979798993,149.20772708320595,142.81369406867844
2019,6,199.67956939369168,198.21726571751014,201.14327266049733
2019,7,169.82098758016164,160.07911529416998,179.5721839438642
2019,8,146.57751756186283,145.52368269781354,147.6323610655122
2019,9,98.30760822167714,91.88405166806575,104.73731284813614
2019,10,55.662064958035074,53.43293458380356,57.89332886309381
2019,11,24.333004427313636,21.570951917677995,27.09770053475936
2019,12,19.966736914117902,16.622820173561117,23.313854162609136
2020,1,23.58483186219708,18.663589857626516,28.51078405404353
2020,2,37.30863545855511,32.08408229976818,42.53818910782552
2020,3,94.6739721791171,90.96854730124139,98.3829435692544
2020,4,162.54115360442287,159.430794144953,165.6544900309949
2020,5,170.49652992608165,169.0943905069519,171.90001135181157
2020,6,163.17046356087278,170.9267141800877,155.40678932929714
2020,7,170.55265758399935,157.26563995797173,183.85239239428628
2020,8,145.18518134743843,146.08259618966082,144.2869075773342
2020,9,109.1575142525015,105.35318875466285,112.96548092172257
2020,10,47.70822587642456,45.86179993217663,49.5564190599142
2020,11,31.07080033705428,26.74413400118969,35.40160778378138
2020,12,15.880950620991918,13.722839909049972,18.041126889881863
2021,1,19.868655898727983,17.35367830597235,22.386040610549394
2021,2,49.275749806722175,42.95624336359442,55.601304734929634
2021,3,87.51114489996829,81.3151081004453,93.71311201010533
2021,4,127.5335079508101,122.28787818477979,132.7841583800297
2021,5,142.74653109409152,142.085262315223,143.4084327822511
2021,6,181.6643022253369,179.50066166700947,183.83001363330308
2021,7,154.64306724955924,154.84797980864914,154.4379585658878
2021,8,124.89402790987414,123.49371610916226,126.29567996794782
2021,9,103.78967326314151,92.22359041355577,115.36682616703857
2021,10,62.67402446146401,57.608525675593036,67.74437150472714
2021,11,23.229139371388207,20.74673797386021,25.713916708864986
2021,12,16.728815220837298,13.836027885411859,19.6243712821426
2022,1,20.430219057471646,16.17085585310125,24.69365895596722
2022,2,41.9542487193606,36.161791482051825,47.75224999582654
2022,3,111.333275099698,106.81803845918645,115.85283333426075
2022,4,127.98056264704411,128.39190072215212,127.5688308747016
2022,5,175.70295742882092,172.24295404132778,179.16627243234822
2022,6,191.30380534837283,190.05587128013826,192.55293383118075
2022,7,184.05329921075904,172.67488817482865,195.44260067776992
2022,8,163.49703180880235,156.51065888736318,170.49009148224607
2022,9,97.36019981311843,97.00681602632882,97.71392182830944
2022,10,65.85864930781511,65.0922771974494,66.6257549232918
2022,11,30.97856598977713,28.491985056621395,33.46752686317172
2022,12,16.955461308282302,13.980371805491469,19.933398309470416
2023,1,19.018110299066144,16.47623274534548,21.56242071816902
2023,2,43.24762201531761,37.887867344159126,48.61250658015548
2023,3,72.47832574126913,68.32277614396345,76.63785267129272
2023,4,112.3637753972624,115.8506825699498,108.87353085856421
2023,5,173.8806234947968,178.4993172076785,169.25750916770076
2023,6,199.0996993765052,192.73132400113408,205.47417001007196
2023,7,167.36537626603928,162.7236096487083,172.01158558097347
2023,8,134.21373181937005,131.30257728806586,137.1276726560457
2023,9,124.49771840394232,117.93572106805131,131.06599631622586
2023,10,56.782938128848166,47.78680551926573,65.78768105861207
2023,11,24.910601719755498,22.787286564857485,27.035949128303297
2023,12,16.20306788918367,12.469898598502324,19.93981024667932
2024,1,26.22154905919586,22.132048599336223,30.314963635250713
2024,2,36.18612534970772,31.296879680229488,41.0800505823368
2024,3,79.64685616236449,75.91987235864109,83.377407112689
2024,4,117.01010548241591,113.11856492419906,120.90537068672894
2024,5,160.94053519881197,171.6843085073855,150.18647887950942
2024,6,165.02004861145875,166.082525864609,163.9565544469609
2024,7,172.06594158282024,168.99452342963883,175.14029943185295
2024,8,159.3076334729383,154.569818822653,164.04998274969813
2024,9,100.8030975900063,102.93973871324613,98.66441145865214
2024,10,55.219422502544596,55.23894373439924,55.19988258665495
2024,11,24.204362600323705,20.331190022181577,28.081242244319924
2024,12,16.070975455106705,12.268332267802244,19.87725820363147
2025,1,25.12314698013827,19.991753122932636,30.259452163799963
2025,2,44.109436852380234,41.33049950244331,46.891033960836246
2025,3,101.34429438298487,101.37442514134501,101.31413478606842
2025,4,145.02514322025888,142.74439500997894,147.30807436549495
2025,5,176.9081384147325,176.8063597195893,177.01001452364125
2025,6,186.81598037743407,179.1570870418448,194.4822041434112
2025,7,152.32552863570885,147.74420499335665,156.9112371248755
2025,8,157.79006031936729,153.52761567498155,162.0565846071661
2025,9,96.79537242829254,100.28315662195142,93.30425002921422
2025,10,50.29059387740347,46.06416580034357,54.52106712593277
2025,11,29.94227464361794,25.99151329504834,33.89681731930309
2025,12,20.767192938545993,17.870272349746216,23.66688620921834
2026,1,26.485831233696526,21.421977440390485,31.554531709950087
2026,2,37.18818691495219,34.478481423623656,39.90048590205167
